Date-Time,Température à 500hPa (K),Température à 1000hPa (K)
2022-08-06 19:00:00,264.96754986165166,305.0230556579602
2022-08-06 20:00:00,264.97673901186874,304.31549109124404
2022-08-06 21:00:00,264.82839987265,303.1484690136732
2022-08-06 22:00:00,264.4004480196825,300.2551994310342
2022-08-06 23:00:00,264.22322869406713,298.72454955201556
2022-08-07 00:00:00,264.1536536995663,297.65204444810627
2022-08-07 01:00:00,264.11295889146203,296.80139168515257
2022-08-07 02:00:00,264.1812211502176,296.0281903311714
2022-08-07 03:00:00,264.20353765788764,295.32325123594586
2022-08-07 04:00:00,264.02763106801757,294.6931380782023
2022-08-07 05:00:00,263.85303721389283,294.2139895311682
2022-08-07 06:00:00,263.62724666570136,294.5093550738605
2022-08-07 07:00:00,263.43427451114246,295.7735195965834
2022-08-07 08:00:00,263.41195800347236,296.8749048868893
2022-08-07 09:00:00,263.3725759311134,297.905402446949
2022-08-07 10:00:00,263.6679414738057,299.38223016041036
2022-08-07 11:00:00,263.5077877128792,300.25651216677954
2022-08-07 12:00:00,263.68106883125864,301.0336517279965
2022-08-07 13:00:00,263.65743958784327,301.67689224319304
2022-08-07 14:00:00,263.81365514153384,302.04314551613146
2022-08-07 15:00:00,263.6062428937766,302.1402879612836
2022-08-07 16:00:00,263.7467056185236,301.8462351543366
2022-08-07 17:00:00,264.0105655033287,301.2095583178666
2022-08-07 18:00:00,263.98562352416803,300.47180082900854
2022-08-07 19:00:00,263.7427674112877,299.82462210657616
2022-08-07 20:00:00,263.7165126963817,299.43342685447703
2022-08-07 21:00:00,263.8372843849492,299.1853197986155
2022-08-07 22:00:00,263.26230612850827,298.2939722275575
2022-08-07 23:00:00,263.3515721591886,298.14038214535753
2022-08-08 00:00:00,263.13628349695955,298.11806563768744
2022-08-08 01:00:00,263.43033630390653,298.0222359282806
2022-08-08 02:00:00,263.3174410298108,297.8253255664858
2022-08-08 03:00:00,262.9525004926177,297.68092463450284
2022-08-08 04:00:00,262.93018398494763,297.56409115317126
2022-08-08 05:00:00,262.8199141823425,297.32517324752683
2022-08-08 06:00:00,262.78578305296475,297.128262885732
2022-08-08 07:00:00,262.813350503616,299.03698065939676
2022-08-08 08:00:00,262.64794579970834,300.4757390362445
2022-08-08 09:00:00,262.38014770766733,301.57449885505974
2022-08-08 10:00:00,261.1868709151905,303.055264775757
2022-08-08 11:00:00,262.19636470332546,303.11565062004075
2022-08-08 12:00:00,262.8435434257579,303.4595873853091
2022-08-08 13:00:00,262.4326571374793,304.1067661077415
2022-08-08 14:00:00,261.87474444572723,304.49008494536884
2022-08-08 15:00:00,262.6978297580297,303.6932543479723
2022-08-08 16:00:00,262.2685651693169,302.49735208400494
2022-08-08 17:00:00,262.0270217921819,302.05496013783915
2022-08-08 18:00:00,261.98501424833233,301.5705606478238
2022-08-08 19:00:00,261.80123124399046,301.2213729395743
2022-08-08 20:00:00,261.71852889203666,300.8761234385606
2022-08-08 21:00:00,261.6266373898657,300.59257251757606
2022-08-08 22:00:00,262.45759911664,296.26842097256116
2022-08-08 23:00:00,261.52424400173237,296.4758332203184
2022-08-09 00:00:00,261.9246284040486,296.27367191554237
2022-08-09 01:00:00,262.57443259797157,295.0961479520091
2022-08-09 02:00:00,262.6046255201135,294.234993303093
2022-08-09 03:00:00,262.35126752127076,293.88711833058875
2022-08-09 04:00:00,261.93119208277506,293.572061751717
2022-08-09 05:00:00,261.7605364358862,293.4250353482435
2022-08-09 06:00:00,261.8721189742366,294.3426376342075
2022-08-09 07:00:00,261.70802700607425,295.32456397169113
2022-08-09 08:00:00,261.5990699392144,296.030815802662
2022-08-09 09:00:00,261.78679115079217,296.64255065997133
2022-08-09 10:00:00,262.2764415837887,297.23721995259183
2022-08-09 11:00:00,261.2315039305307,297.7859434941268
2022-08-09 12:00:00,261.26826053139905,297.3868718275559
2022-08-09 13:00:00,261.96269774066224,296.9562945030978
2022-08-09 14:00:00,261.9692614193888,297.54702558848237
2022-08-09 15:00:00,261.96138500491696,297.3999991850089
2022-08-09 16:00:00,261.7802274720657,296.94316714564485
2022-08-09 17:00:00,261.38903221996657,296.51127708544146
